Frequency (Hz),Channel 1 Magnitude (dB),Channel 1 Phase (deg)
1377.43,-78.63477978148053,-138.4250482899874
1401.42,-85.00992268154748,-48.64277589457626
1425.41,-80.23110099442923,-146.4341688003186
1449.4,-80.16998258770145,73.60077185561188
1473.39,-88.78326326818902,-142.0671022909198
1497.38,-80.01314439702918,126.3266705615962
1521.37,-82.60307319292423,64.90705714177803
1545.36,-117.957378751012,-23.43347474121012
1569.35,-78.24012726907519,116.468712129741
1593.34,-76.29192047499123,95.14094373581985
1617.33,-75.82562544973231,9.985511637275209
1641.32,-84.94655496765927,3.164522317200166
1665.31,-83.80660606705874,-1.841577964336892
1689.3,-76.77053779881768,-126.735716460431
1713.29,-83.95269039545045,-75.31392272063724
1737.28,-77.12814586470233,124.3145750786262
1761.27,-77.00095801485969,-179.2127176792555
1785.26,-81.18822564588666,48.85351255834995
1809.25,-76.12179095712631,-39.7988496317614
1833.24,-95.00324071308427,-39.37576054352235
1857.23,-76.92849759024764,-94.89569911857339
1881.22,-75.72010439610823,8.925538165009399
1905.21,-79.05452792860403,162.042735156597
1929.2,-72.48631525374088,-134.2400555316817
1953.19,-76.07186835227571,-48.49295918013689
1977.18,-76.87816311211178,78.97748893374194
2001.17,-76.1295867610188,48.11279916323925
2025.16,-70.94855566893128,-8.154587687466574
2049.15,-76.66707473663212,64.83683156523527
2073.14,-77.05645006643503,-37.5047037317954
2097.13,-74.47093805564612,160.2162960195894
2121.12,-75.68758766242981,-6.426264168927236
2145.11,-81.58147066504961,94.52354981094068
2169.1,-80.38613279810434,54.89350265753066
2193.09,-74.24196824770591,131.0021595214752
2217.08,-85.75341287963684,135.4332690666806
2241.07,-75.0756098100568,-130.8610881846331
2265.06,-75.90115454083652,-142.9856780594393
2289.05,-72.48455129896558,89.64523004884086
2313.04,-73.6436077111195,172.7787876127182
2337.03,-74.23962023265977,-122.4996484202252
2361.02,-83.43869937386089,174.4305421866818
2385.01,-75.39682858054994,-131.1325961716693
2409,-79.22380757591237,30.39474478014893
2432.99,-70.12999183639349,-50.71522409598126
2456.98,-82.10529443977742,59.39456372026332
2480.97,-71.71395295449733,131.6832393573278
2504.96,-81.69691372303478,166.7348224355043
2528.95,-81.34902386978148,115.5755209759456
2552.94,-75.27960378723749,-113.7578219517898
2576.93,-82.29163611277379,102.2670491170282
2600.92,-84.60007039866618,-174.8484871470928
2624.91,-78.78363035499179,112.2601736463336
2648.9,-77.37852436304206,-35.84237083681796
2672.89,-71.62253688505177,95.96932819627558
2696.88,-71.74101266007423,-160.4790269049209
2720.87,-72.29902657483716,-177.0573263838598
2744.86,-79.20549572712152,-34.40338219811348
2768.85,-77.51311686912088,-124.99792052029
2792.84,-80.34960437863265,-52.78070128062465
2816.83,-74.71691946602863,-66.86972828558777
2840.82,-91.1241367157275,177.2225499949193
2864.81,-75.28531092163148,130.8605680724252
2888.8,-76.31513860009321,1.542472919057424
2912.79,-78.32881541036508,-153.3533087880329
2936.78,-79.7460520510932,-167.8517798954694
2960.77,-79.25279819002952,-151.843002730485
2984.76,-74.7178346281583,1.569636504648187
3008.75,-75.630221824123,27.61170916610214
3032.74,-75.46341534136063,119.585162919914
3056.73,-73.13569706132316,0.8064880297133357
3080.72,-75.47100148501377,-44.39885539583237
3104.71,-72.91112005073637,-28.82162419022109
3128.7,-74.21795844166232,53.51894917583287
3152.69,-72.61630932255932,-130.0028638710532
3176.68,-86.61274982325364,91.06132831414072
3200.67,-76.83633787257911,-122.4755039848634
3224.66,-75.74970485282608,-175.7973806334216
3248.65,-73.68740628403981,109.9321377824524
3272.64,-71.96064238461071,171.4033961721244
3296.63,-74.7818719682882,-29.45300082509195
3320.62,-73.85792138970073,153.4974747219219
3344.61,-96.50511341082152,-28.91013156824607
3368.6,-79.28148429543158,-49.65992406235371
3392.59,-70.1356591498988,57.0480785601366
3416.58,-67.86109645774091,104.4479907571162
3440.57,-73.47101136454417,90.07354987559242
3464.56,-84.55780784376529,121.8284844695839
3488.55,-72.82465751020295,155.0494697130852
3512.54,-79.25760838587075,-27.49190041641273
3536.53,-76.90170833235514,-143.344396061115
3560.52,-80.2692282768151,95.86831977881407
3584.51,-76.91798427537631,115.9151632495706
3608.5,-84.04832768819163,67.42167439436517
