Frequency (Hz),Channel 1 Magnitude (dB),Channel 1 Phase (deg)
2286.85,-31.31338459232802,-160.6096570656561
2298.8,-31.14865496870717,-163.8945596627723
2310.75,-31.08938277379216,-166.4990603731425
2322.7,-31.04830628740284,-169.16280134317
2334.65,-30.93832271915709,-172.0450937725754
2346.6,-30.8210182110025,-175.0885632313396
2358.55,-30.68011438583833,-177.8533268471729
2370.5,-30.6793498616772,179.7812106746704
2382.45,-30.50330592785635,176.961619327047
2394.4,-30.4553317773478,173.3436606328324
2406.35,-30.38450678432469,171.2243293231141
2418.3,-30.29122446423336,168.2613073274447
2430.25,-30.16814436213447,165.3829564046222
2442.2,-30.15536122495858,162.9815442682612
2454.15,-30.07496482800335,160.020203594198
2466.1,-29.94289499800841,157.2454629806268
2478.05,-29.88215930256559,154.5820072622158
2490,-29.81477641625967,151.0838400620202
2501.95,-29.76708909648935,149.0396586216813
2513.9,-29.73158399063119,145.8414487028853
2525.85,-29.71015842486032,143.2039566796152
2537.8,-29.55250056370574,140.1847341613671
2549.75,-29.55810604129518,137.4710843649034
2561.7,-29.49093609471562,134.9371989879884
2573.65,-29.387596653766,132.1385749875129
2585.6,-29.38612582962821,129.2114078982925
2597.55,-29.32763892722981,126.49347445687
2609.5,-29.28129771081229,123.7509829393034
2621.45,-29.23422986908502,121.0794911410815
2633.4,-29.15948901410513,118.3961871669652
2645.35,-29.12305452268651,115.2201060138577
2657.3,-29.05973079837985,112.5777811674895
2669.25,-29.0323361128175,109.7911272433081
2681.2,-28.99662212412524,106.9677934477592
2693.15,-28.95410585278248,104.114633171271
2705.1,-28.89117411551456,101.5739564775072
2717.05,-28.85948120024946,98.78235735833485
2729,-28.80086218644486,95.73941336058225
2740.95,-28.80272429744002,93.13650228723283
2752.9,-28.8099264267138,90.28073195400583
2764.85,-28.69537656658416,87.45965812521891
2776.8,-28.69516645403097,85.09166653294415
2788.75,-28.66303460236369,81.85755614733644
2800.7,-28.6686856111266,79.00047790511064
2812.65,-28.66259592203792,76.41193740317237
2824.6,-28.63962502978529,73.63400298110844
2836.55,-28.60134302595694,70.9863035676911
2848.5,-28.57594112840669,68.27392500265654
2860.45,-28.51522988169727,65.37651211588489
2872.4,-28.52644567447219,62.16679500005564
2884.35,-28.54301255931712,60.02410571229289
2896.3,-28.51540046211277,56.90377781129061
2908.25,-28.49472693314075,54.28152875794744
2920.2,-28.43673820760566,51.68898073213396
2932.15,-28.4660359123629,49.00088183645761
2944.1,-28.48275771813176,45.81146021331343
2956.05,-28.41106226180678,43.1403638271079
2968,-28.45166153207905,40.55065126486049
2979.95,-28.46263028144542,37.26218310179806
2991.9,-28.40736525330512,35.26120300566672
3003.85,-28.41542058747439,31.97798570341301
3015.8,-28.45300919216054,29.01052649731417
3027.75,-28.43700339040271,26.38737027021671
3039.7,-28.42033198170906,23.75250514185987
3051.65,-28.39181653182496,20.81839887146658
3063.6,-28.45910178188257,18.29721216013919
3075.55,-28.49187704522871,15.230695684956
3087.5,-28.41766484173989,12.69913511264565
3099.45,-28.48237451462106,10.1593914972477
3111.4,-28.45845313029355,7.161844179544289
3123.35,-28.52781222751354,4.189576897566269
3135.3,-28.56862619414378,1.379108121687466
3147.25,-28.55785935320634,-0.9654540678534005
3159.2,-28.56701819602361,-4.082672245762922
3171.15,-28.59632318590452,-6.774161877860323
3183.1,-28.51279744714558,-9.719077241704255
3195.05,-28.527647527684,-12.43020908095373
3207,-28.60163000551026,-15.0637868435627
3218.95,-28.65382584895924,-17.98086197868433
3230.9,-28.64338479757391,-20.1082094035537
3242.85,-28.69815922630313,-23.28448235686731
3254.8,-28.70968558344486,-26.26280823805043
3266.75,-28.7282079623855,-28.4221209437966
3278.7,-28.7381382768886,-31.86368234714884
3290.65,-28.812142881218,-34.44693876020069
3302.6,-28.81100017625535,-37.10840739588764
3314.55,-28.90042096918389,-40.01130178267445
3326.5,-28.95459808801538,-42.70126246195693
3338.45,-28.97377648550798,-45.53360569845339
3350.4,-28.95071915014477,-48.01559192801392
3362.35,-29.03550847223042,-51.13161314259735
3374.3,-29.12000774658294,-53.98607047768574
3386.25,-29.1603049188489,-56.77701801434176
3398.2,-29.14029878742656,-59.40190158283571
3410.15,-29.21711534946836,-62.57317138070954
3422.1,-29.23614038052829,-64.48064821101192
3434.05,-29.25130015346776,-67.44391971793848
3446,-29.36152666669455,-70.9851254838147
3457.95,-29.41069930228364,-73.39421542533658
3469.9,-29.46580482134807,-76.33952122218635
3481.85,-29.4473562597644,-78.6194919044986
3493.8,-29.58313193868992,-81.5983772564127
3505.75,-29.69815440530002,-84.17026700294788
3517.7,-29.74365226029611,-87.55997831390945
3529.65,-29.76437112060609,-89.99245850132495
3541.6,-29.86612421730967,-92.78937218876939
3553.55,-29.91576555404627,-95.21903801564348
3565.5,-29.99017627344046,-98.18911163896821
3577.45,-30.04645755399869,-101.0849983567689
3589.4,-30.1714797943749,-103.6314186891801
3601.35,-30.26761757848029,-106.5536913908525
3613.3,-30.33371652754383,-109.2014063919837
3625.25,-30.40144598042183,-112.1155915103842
3637.2,-30.47908597740868,-115.2341061796646
3649.15,-30.58036731682834,-117.7444866974562
3661.1,-30.66046886926221,-120.2603501782438
3673.05,-30.70906128506607,-123.1793123450153
3685,-30.81291212122914,-125.7338716360769
3696.95,-30.90492333794668,-128.7074064680126
3708.9,-31.01183070259961,-131.1043143576358
3720.85,-31.12038144872077,-134.0512796678393
3732.8,-31.23782383231795,-137.1917851314865
3744.75,-31.31367263540493,-139.6831731048487
3756.7,-31.44553911065949,-142.2848829973283
3768.65,-31.52090941940843,-145.7237612658312
3780.6,-31.70418797906318,-148.0094676877125
3792.55,-31.80502296250493,-151.3248912243548
3804.5,-31.90390802111033,-153.2091696312805
3816.45,-32.07665492830676,-156.465487436245
3828.4,-32.21807382943701,-159.6396525591011
3840.35,-32.39882416069491,-162.2984467808031
3852.3,-32.48312092045147,-164.9523588166748
3864.25,-32.5854361710774,-167.6229594822756
3876.2,-32.77047758201067,-169.9227136953122
3888.15,-32.87904285103597,-172.6141887579792
3900.1,-33.11070118619833,-175.5933462274805
3912.05,-33.23930607498246,-178.9723953090849
