Time (s),Channel 3 (V)
-0.0001012494438559322,3.310009638744241
-0.0001012244438559322,3.310009638744241
-0.0001011994438559322,3.310009638744251
-0.0001011744438559322,3.331294591581831
-0.0001011494438559322,3.310009638744251
-0.0001011244438559322,3.331294591581831
-0.0001010994438559322,3.299367162325442
-0.0001010744438559322,3.320652115163041
-0.0001010494438559322,3.310009638744241
-0.0001010244438559322,3.331294591581841
-0.0001009994438559322,3.320652115163041
-0.0001009744438559322,3.299367162325442
-0.0001009494438559322,3.34193706800064
-0.0001009244438559322,3.320652115163041
-0.0001008994438559322,3.299367162325442
-0.0001008744438559322,3.310009638744241
-0.0001008494438559322,3.331294591581841
-0.0001008244438559322,3.320652115163041
-0.0001007994438559322,3.331294591581841
-0.0001007744438559322,3.288724685906642
-0.0001007494438559322,3.299367162325442
-0.0001007244438559322,3.310009638744241
-0.0001006994438559322,3.320652115163041
-0.0001006744438559322,3.299367162325442
-0.0001006494438559322,3.288724685906642
-0.0001006244438559322,3.331294591581841
-0.0001005994438559322,3.331294591581841
-0.0001005744438559322,3.299367162325457
-0.0001005494438559322,3.310009638744241
-0.0001005244438559322,3.320652115163041
-0.0001004994438559322,3.331294591581841
-0.0001004744438559322,3.352579544419439
-0.0001004494438559322,3.288724685906642
-0.0001004244438559322,3.299367162325442
-0.0001003994438559322,3.310009638744241
-0.0001003744438559322,3.34193706800064
-0.0001003494438559322,3.310009638744241
-0.0001003244438559322,3.278082209487843
-0.0001002994438559322,3.320652115163041
-0.0001002744438559322,3.331294591581841
-0.0001002494438559322,3.310009638744241
-0.0001002244438559322,3.320652115163041
-0.0001001994438559322,3.310009638744241
-0.0001001744438559322,3.320652115163041
-0.0001001494438559322,3.352579544419439
-0.0001001244438559322,3.310009638744241
-0.0001000994438559322,3.310009638744241
-0.0001000744438559322,3.299367162325457
-0.0001000494438559322,3.331294591581836
-0.0001000244438559322,3.320652115163046
-9.999944385593221e-05,3.288724685906642
-9.997444385593221e-05,3.299367162325442
-9.994944385593221e-05,3.331294591581841
-9.992444385593221e-05,3.320652115163041
-9.989944385593221e-05,3.331294591581841
-9.987444385593221e-05,3.288724685906642
-9.98494438559322e-05,3.320652115163041
-9.98244438559322e-05,3.363222020838239
-9.97994438559322e-05,3.320652115163041
-9.97744438559322e-05,3.299367162325442
-9.97494438559322e-05,3.288724685906642
-9.97244438559322e-05,3.320652115163041
-9.96994438559322e-05,3.320652115163041
-9.96744438559322e-05,3.299367162325442
-9.96494438559322e-05,3.299367162325442
-9.96244438559322e-05,3.331294591581841
-9.95994438559322e-05,3.320652115163041
-9.95744438559322e-05,3.34193706800064
-9.95494438559322e-05,3.299367162325442
-9.95244438559322e-05,3.310009638744256
-9.94994438559322e-05,3.341937068000625
-9.947444385593221e-05,3.310009638744256
-9.944944385593221e-05,3.320652115163036
-9.942444385593221e-05,3.278082209487843
-9.939944385593221e-05,3.331294591581841
-9.937444385593221e-05,3.320652115163041
-9.934944385593221e-05,3.310009638744241
-9.932444385593221e-05,3.310009638744241
-9.929944385593221e-05,3.320652115163041
-9.92744438559322e-05,3.310009638744241
-9.92494438559322e-05,3.34193706800064
-9.92244438559322e-05,3.310009638744241
-9.91994438559322e-05,3.310009638744241
-9.91744438559322e-05,3.331294591581841
-9.91494438559322e-05,3.320652115163041
-9.91244438559322e-05,3.331294591581841
-9.90994438559322e-05,3.299367162325442
-9.90744438559322e-05,3.310009638744241
-9.90494438559322e-05,3.310009638744241
-9.90244438559322e-05,3.310009638744241
-9.89994438559322e-05,3.310009638744241
-9.89744438559322e-05,3.34193706800063
-9.89494438559322e-05,3.320652115163041
-9.892444385593221e-05,3.320652115163041
-9.889944385593221e-05,3.299367162325452
-9.887444385593221e-05,3.320652115163041
-9.884944385593221e-05,3.331294591581841
-9.882444385593221e-05,3.299367162325442
-9.879944385593221e-05,3.310009638744241
-9.877444385593221e-05,3.278082209487843
-9.874944385593221e-05,3.320652115163041
-9.87244438559322e-05,3.299367162325442
-9.86994438559322e-05,3.288724685906642
-9.86744438559322e-05,3.310009638744241
-9.86494438559322e-05,3.34193706800064
-9.86244438559322e-05,3.310009638744241
-9.85994438559322e-05,3.320652115163041
-9.85744438559322e-05,3.288724685906642
-9.85494438559322e-05,3.320652115163041
-9.85244438559322e-05,3.34193706800064
-9.84994438559322e-05,3.299367162325442
-9.84744438559322e-05,3.331294591581841
-9.84494438559322e-05,3.278082209487843
-9.84244438559322e-05,3.331294591581841
-9.83994438559322e-05,3.299367162325437
-9.83744438559322e-05,3.288724685906647
-9.834944385593221e-05,3.299367162325437
-9.832444385593221e-05,3.352579544419439
-9.829944385593221e-05,3.320652115163041
-9.827444385593221e-05,3.320652115163041
-9.824944385593221e-05,3.278082209487843
-9.822444385593221e-05,3.310009638744241
-9.819944385593221e-05,3.320652115163041
-9.81744438559322e-05,3.310009638744241
-9.81494438559322e-05,3.299367162325442
-9.81244438559322e-05,3.267439733069044
-9.80994438559322e-05,3.331294591581841
-9.80744438559322e-05,3.320652115163041
-9.80494438559322e-05,3.288724685906642
-9.80244438559322e-05,3.299367162325442
