Frequency (Hz),Channel 1 Magnitude (dB),Channel 1 Phase (deg);;
100,-25.00937385562494,-152.9038071043789;;
111.95,-24.47893884220711,-159.1691523353772;;
123.9,-24.03719827956981,-164.8032035313207;;
135.85,-23.71865433912916,-170.1913248703332;;
147.8,-23.44961053476475,-175.4575090338257;;
159.75,-23.23016261600018,179.5877561405799;;
171.7,-23.06382473817983,174.8611316123035;;
183.65,-22.8996583236989,170.3154493320862;;
195.6,-22.81899398246962,165.8466025840855;;
207.55,-22.72251762376787,161.6644429850078;;
219.5,-22.58935810615207,157.4506437624561;;
231.45,-22.5641019164784,153.3712182348627;;
243.4,-22.48581666432916,149.4678593130097;;
255.35,-22.44436898448855,145.7105458162468;;
267.3,-22.41903491780617,141.8948271725631;;
279.25,-22.3938373501039,138.361756918213;;
291.2,-22.38174239644946,134.6398449892521;;
303.15,-22.35553668308867,131.0267982521682;;
315.1,-22.3684872520889,127.5739407246833;;
327.05,-22.36561260164854,124.0255633708886;;
339,-22.36292374130223,120.7303723314029;;
350.95,-22.39180663753708,117.3723210553298;;
362.9,-22.38773345369938,113.968595124429;;
374.85,-22.42484073514765,110.7462638865138;;
386.8,-22.42877216066944,107.4103248844909;;
398.75,-22.46714403796592,104.2084314449292;;
410.7,-22.49545993841497,100.9501745375694;;
422.65,-22.52299071283721,97.80794523620335;;
434.6,-22.55538207081693,94.53220276125003;;
446.55,-22.59263978922022,91.51418460085286;;
458.5,-22.64035932671522,88.27007688452802;;
470.45,-22.67875986111464,85.18655513286956;;
482.4,-22.72027943105484,82.02998654147711;;
494.35,-22.75909451969546,78.99976593193209;;
506.3,-22.81086227413832,75.95008996438493;;
518.25,-22.87697627995477,72.91026793374181;;
530.2,-22.92261311019744,69.77234837447472;;
542.15,-22.97684761282353,66.67168219963423;;
554.1,-23.05073233868722,63.80010459224223;;
566.05,-23.09670752440954,60.72211756715171;;
578,-23.17618619027709,57.77224803384411;;
589.95,-23.24246491199232,54.7374629711751;;
601.9,-23.3147008840139,51.70972985402778;;
613.85,-23.37501909799418,48.76564536713997;;
625.8,-23.46545561981319,45.72118793468002;;
637.75,-23.52253073764709,42.81318158953354;;
649.7,-23.60719568955649,39.77630279234717;;
661.65,-23.67644004478423,36.86749275116614;;
673.6,-23.77448489644028,33.87927901478459;;
685.55,-23.86289321634896,30.89821320581112;;
697.5,-23.93314951882468,28.00338736296425;;
709.45,-24.03928037462874,25.04802514469691;;
721.4,-24.13013797268185,22.12456992825328;;
733.35,-24.2258961960698,19.27668014363296;;
745.3,-24.31534742485992,16.2175027708364;;
757.25,-24.42168360493918,13.22963310441509;;
769.2,-24.52752337097131,10.39475293031471;;
781.15,-24.62356643555816,7.536273590145043;;
793.1,-24.76239560046108,4.672342760682909;;
805.05,-24.86263367082433,1.706481272628523;;
817,-24.9655960735336,-1.340853237347261;;
828.95,-25.09654393153605,-4.03387534926696;;
840.9,-25.20620257590886,-7.035397099090517;;
852.85,-25.31993813794649,-9.91198473558633;;
864.8,-25.4525760556432,-12.7945782469812;;
876.75,-25.59758574882491,-15.60909749200079;;
888.7,-25.71605464810482,-18.61659127959899;;
900.65,-25.86807257541608,-21.51078866975817;;
912.6,-26.02358651390239,-24.47318989354025;;
924.55,-26.16317423439746,-27.31005985630998;;
936.5,-26.33079580516209,-30.06838914546624;;
948.45,-26.4682131934427,-33.11131537251775;;
960.4,-26.62552625078702,-35.88876891771567;;
972.35,-26.80284332169066,-38.86953123511231;;
984.3,-26.95268546057479,-41.71217830760515;;
996.25,-27.14391448101212,-44.66459157097312;;
1008.2,-27.31516952614581,-47.52517814341729;;
1020.15,-27.49322015917144,-50.46762225540945;;
1032.1,-27.67129753926148,-53.3172062583842;;
1044.05,-27.89116407115677,-56.26282617637438;;
1056,-28.08106219561558,-59.11939621602028;;
1067.95,-28.27375104018774,-62.21318639493862;;
1079.9,-28.48443924835398,-65.12062803077743;;
1091.85,-28.75533681937787,-67.94937538480997;;
1103.8,-28.95265084371963,-70.9121976099745;;
1115.75,-29.19517860207406,-74.01594176238825;;
1127.7,-29.43324212907298,-76.91276870636005;;
1139.65,-29.68546745270556,-79.65360965931164;;
1151.6,-29.9327212814922,-82.66374831900542;;
1163.55,-30.19720562865808,-85.58272452537372;;
1175.5,-30.47119940271797,-88.48440705812574;;
1187.45,-30.77307912374993,-91.50997469760262;;
1199.4,-31.06368322060741,-94.52145063428537;;
1211.35,-31.36030702918201,-97.52742292898563;;
1223.3,-31.72440696508922,-100.3098611849484;;
1235.25,-32.03111166229977,-103.604555809362;;
1247.2,-32.41163044908701,-106.5157921826397;;
1259.15,-32.77275290351176,-109.5694924729977;;
1271.1,-33.12860949384378,-112.6067722544482;;
1283.05,-33.53644387551797,-116.1685911954892;;
1295,-33.97310633376015,-118.6985216722556;;
1306.95,-34.42914631240519,-121.9020370344963;;
1318.9,-34.96118544859718,-125.8975500611373;;
1330.85,-35.38441188599163,-128.7040772042648;;
1342.8,-35.93341299545308,-131.7473885649258;;
1354.75,-36.55730783635585,-135.5844593290162;;
1366.7,-37.16096669183172,-138.8171299200996;;
1378.65,-37.80892874611724,-142.4986721540141;;
1390.6,-38.49993117493546,-146.0787029727424;;
1402.55,-39.36557057367377,-150.2068958459982;;
1414.5,-40.03355089731231,-154.4735299380222;;
1426.45,-41.05437777148823,-158.4978712752514;;
1438.4,-42.04909959810568,-163.6602057376029;;
1450.35,-43.1426315676769,-169.4668786132303;;
1462.3,-44.58531894177025,-174.8789721867753;;
1474.25,-46.12601788917831,176.8967994360775;;
1486.2,-47.81393708439733,165.7405025723268;;
1498.15,-49.54057677378064,153.7832619199555;;
1510.1,-51.02097959797633,135.9848954662154;;
1522.05,-51.89465273711968,110.1164761606807;;
1534,-52.13499813375833,84.96526417792052;;
1545.95,-49.93346594337679,62.09810859423169;;
1557.9,-48.22230103027023,47.36511425713395;;
1569.85,-46.7219433707848,35.81475660930664;;
1581.8,-45.19713401734564,27.28181968024819;;
1593.75,-43.74255672930813,20.45141352659219;;
1605.7,-42.59239784633694,15.35183541324738;;
1617.65,-41.42745396875497,9.559875045498117;;
1629.6,-40.51402023305777,4.719336422633233;;
1641.55,-39.62665417488515,0.6537987234682845;;
1653.5,-38.87303166130854,-3.44398631844777;;
1665.45,-38.05734761736191,-7.637621279425048;;
1677.4,-37.41154373340737,-11.54435170811372;;
1689.35,-36.8703020899888,-14.39391745654712;;
1701.3,-36.1648150586513,-17.46632089268487;;
1713.25,-35.62524912142152,-20.93443173276887;;
1725.2,-35.08455022665106,-24.17223791649559;;
1737.15,-34.68665146894526,-27.44022290680299;;
1749.1,-34.24415371705386,-30.85265126745264;;
1761.05,-33.78691287913443,-33.83982652118559;;
1773,-33.41965477259295,-37.05240421397309;;
1784.95,-33.00136409513302,-39.97419903951763;;
1796.9,-32.67738319292503,-43.36099932667977;;
1808.85,-32.2609319892731,-46.27725459049151;;
1820.8,-31.93837989558404,-49.36355054836315;;
1832.75,-31.58952285858338,-52.11920866338141;;
1844.7,-31.24511320711295,-55.15711576683932;;
1856.65,-30.97835194959189,-57.96630626958697;;
1868.6,-30.64975110662077,-61.20400578989343;;
1880.55,-30.3841698520551,-64.23216241621178;;
1892.5,-30.0970932314547,-67.12685740833778;;
1904.45,-29.79771530037178,-69.93625251766665;;
1916.4,-29.58450720164728,-72.73936318883426;;
1928.35,-29.35111517889609,-75.59084033893373;;
1940.3,-29.16320839117718,-78.76537059163775;;
1952.25,-28.90370954474024,-81.53332021550226;;
1964.2,-28.65470695083363,-84.63382600795565;;
1976.15,-28.49556660904528,-87.34479550117608;;
1988.1,-28.2882517676634,-90.07510763175875;;
2000.05,-28.07194139127238,-92.92822491956247;;
2012,-27.88520499547044,-95.94065168350069;;
2023.95,-27.6206623196377,-98.7451807845832;;
2035.9,-27.46800781433983,-101.618705298665;;
2047.85,-27.32243199847977,-104.2821490686637;;
2059.8,-27.10466004718645,-107.2885158721694;;
2071.75,-26.93835688874906,-110.1102269352377;;
2083.7,-26.78185344851805,-112.7962396827456;;
2095.65,-26.63390372725681,-115.8570384497822;;
2107.6,-26.46125693142896,-118.5942108325016;;
2119.55,-26.31253531227803,-121.325501675575;;
2131.5,-26.16667936459933,-124.3707088691447;;
2143.45,-26.0530801361813,-126.9466206027905;;
2155.4,-25.89553632462408,-129.9619247679284;;
2167.35,-25.72644003705212,-132.7156170800571;;
2179.3,-25.64049974121364,-135.6384771088087;;
2191.25,-25.48697461277637,-138.3648152674272;;
2203.2,-25.36574901065867,-141.1739338997619;;
2215.15,-25.20157484352368,-143.940242886127;;
2227.1,-25.11247469658369,-146.8773859186423;;
2239.05,-24.98925905341004,-149.4915574860412;;
2251,-24.86891907534091,-152.192374782671;;
2262.95,-24.75990816081994,-155.2593276702765;;
2274.9,-24.66361559613962,-158.1070572167401;;
2286.85,-24.56503305918849,-160.8310561555137;;
2298.8,-24.44814315949652,-163.6731546509561;;
2310.75,-24.35151475070554,-166.447128237663;;
2322.7,-24.26793897379007,-169.21606512838;;
2334.65,-24.16361390310507,-172.1610874341798;;
2346.6,-24.0914751856247,-174.998888779429;;
2358.55,-23.94845325347294,-177.5678882035263;;
2370.5,-23.88241384210328,179.5459197329912;;
2382.45,-23.78946050832106,176.7031971256496;;
2394.4,-23.71483555586074,174.1267996437571;;
2406.35,-23.62189267046196,171.2057794249509;;
2418.3,-23.53729680868409,168.3981375642647;;
2430.25,-23.46820164092818,165.619063761825;;
2442.2,-23.40515330055999,162.8854442892496;;
2454.15,-23.30591375969183,160.0101495758685;;
2466.1,-23.23443297411851,157.2337354255272;;
2478.05,-23.17438409973854,154.4374965897983;;
2490,-23.11620878862326,151.6371503923039;;
2501.95,-23.03259945320427,148.8219089009551;;
2513.9,-22.9355641685693,146.1298277132015;;
2525.85,-22.87696252005957,143.2394732519206;;
2537.8,-22.82021770100203,140.4278742091517;;
2549.75,-22.7680480494377,137.6338935057161;;
2561.7,-22.7282804478144,134.8925473656188;;
2573.65,-22.65975017120255,132.1868275986526;;
2585.6,-22.62297648156468,129.2965828637421;;
2597.55,-22.54121821688884,126.5060019171861;;
2609.5,-22.50907997705443,123.7428588330679;;
2621.45,-22.4367614764425,120.9217300742442;;
2633.4,-22.39830069055381,118.0945951813083;;
2645.35,-22.35499597640693,115.2998581208982;;
2657.3,-22.33425308208513,112.6858889947272;;
2669.25,-22.26461143484586,109.9140412395849;;
2681.2,-22.24672393387247,107.0365997420016;;
2693.15,-22.2150470287197,104.2650078433717;;
2705.1,-22.15975734643209,101.5407162997241;;
2717.05,-22.11403747865406,98.74194077647297;;
2729,-22.09444016451782,95.92024782841881;;
2740.95,-22.04034748101208,93.14134267127929;;
2752.9,-22.04151268841198,90.553227380151;;
2764.85,-22.00397483148794,87.63014669734446;;
2776.8,-21.945955925151,84.79516738334314;;
2788.75,-21.92792474814206,81.98206222453018;;
2800.7,-21.90798142128578,79.15487982981935;;
2812.65,-21.87796750540967,76.50071487624533;;
2824.6,-21.87585934029318,73.66801561116259;;
2836.55,-21.80902290174039,71.07760808024116;;
2848.5,-21.81694178474368,67.91812395630647;;
2860.45,-21.78546572208869,65.51636961638218;;
2872.4,-21.79270517213903,62.70554896525222;;
2884.35,-21.74631244947605,59.87264730331532;;
2896.3,-21.73409324125287,56.9939514141704;;
2908.25,-21.72056334949245,54.37000361542178;;
2920.2,-21.71841371815885,51.51412793657502;;
2932.15,-21.71186340470393,48.46680880034972;;
2944.1,-21.70843223823667,46.15887389582267;;
2956.05,-21.69643946258685,43.11470654298198;;
2968,-21.69837885671877,40.41784782155166;;
2979.95,-21.68853328536318,37.63121292875832;;
2991.9,-21.65013015814266,34.87132161239938;;
3003.85,-21.67583615763162,32.18680771362823;;
3015.8,-21.68731371616085,29.33533415386408;;
3027.75,-21.68213477300957,26.72493841916656;;
3039.7,-21.66661516714363,23.60960370673197;;
3051.65,-21.69348073225557,21.03705530078292;;
3063.6,-21.66612241056918,18.23281970807034;;
3075.55,-21.66418909607497,15.49153313200657;;
3087.5,-21.68989007038434,12.90629973903566;;
3099.45,-21.70424795510047,9.82189896493616;;
3111.4,-21.69981759720915,7.28554393656858;;
3123.35,-21.72129801806636,4.474178458810258;;
3135.3,-21.73456251846572,1.676240607824532;;
3147.25,-21.75791931062704,-1.21751750052578;;
3159.2,-21.76468610731301,-3.862092967354343;;
3171.15,-21.79053383436464,-6.70837478140519;;
3183.1,-21.81669313924545,-9.500509261477077;;
3195.05,-21.81301171389633,-12.28133737947833;;
3207,-21.83186585812473,-14.92754518145944;;
3218.95,-21.85197821461399,-17.86093054480875;;
3230.9,-21.90143592183674,-20.46614090155148;;
3242.85,-21.94206552190223,-23.34117488667741;;
3254.8,-21.93438512688461,-26.04662878234001;;
3266.75,-21.96973476571848,-28.85921178874032;;
