Time (s),Channel 1 (V),Channel 4 (V)
-0.01781201810747664,0.0004370333286257688,0.002063955191602268
-0.01778701810747663,-0.001574023227682023,0.0001597647959904802
-0.01776201810747663,0.002448089884935389,0.002063955191602268
-0.01773701810747663,0.0004370333286257688,0.002063955191602268
-0.01771201810747663,0.0004370333286257688,0.003968145587214922
-0.01768701810747664,0.002448089884935389,0.003968145587214922
-0.01766201810747663,0.0004370333286248543,0.002063955191602268
-0.01763701810747663,-0.001574023227683852,0.002063955191602268
-0.01761201810747663,0.002448089884935389,0.003968145587214922
-0.01758701810747663,0.0004370333286257688,0.002063955191602268
-0.01756201810747664,0.0004370333286257688,0.002063955191602268
-0.01753701810747663,0.0004370333286257688,0.002063955191602268
-0.01751201810747663,0.0004370333286257688,0.002063955191602268
-0.01748701810747663,0.0004370333286257688,0.003968145587214922
-0.01746201810747663,0.0004370333286257688,0.002063955191602268
-0.01743701810747664,0.0004370333286257688,0.002063955191602268
-0.01741201810747663,0.0004370333286257688,0.002063955191603134
-0.01738701810747663,0.0004370333286257688,0.003968145587214922
-0.01736201810747663,0.0004370333286257688,0.003968145587214922
-0.01733701810747663,0.0004370333286257688,0.002063955191602268
-0.01731201810747664,0.0004370333286257688,0.002063955191602268
-0.01728701810747663,0.0004370333286257688,0.002063955191603134
-0.01726201810747663,0.0004370333286257688,0.003968145587214922
-0.01723701810747663,-0.001574023227683852,0.002063955191602268
-0.01721201810747663,0.002448089884935389,0.003968145587214922
-0.01718701810747664,0.0004370333286257688,0.002063955191602268
-0.01716201810747663,0.002448089884935389,0.003968145587214056
-0.01713701810747663,0.002448089884935389,0.002063955191602268
-0.01711201810747663,0.002448089884935389,0.003968145587214922
-0.01708701810747663,0.0004370333286257688,0.003968145587214922
-0.01706201810747664,0.0004370333286257688,0.002063955191602268
-0.01703701810747663,0.0004370333286257688,0.002063955191602268
-0.01701201810747663,0.0004370333286257688,0.002063955191602268
